  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      3.6241E-03      1.0047E+00      1.0000E+00      1.0074E+00      3.6112E-03      8.9636E+01      9.0276E+01      1.0000E+00
      3.6071E-03      1.0015E+00      1.0000E+00      1.0025E+00      3.6013E-03      8.9927E+01      9.0115E+01      1.0000E+00
      3.6004E-03      1.0005E+00      1.0000E+00      1.0010E+00      3.5990E-03      8.9854E+01      9.0168E+01      1.0000E+00
      3.5988E-03      1.0005E+00      1.0000E+00      1.0010E+00      3.5979E-03      8.9815E+01      9.0197E+01      1.0000E+00
      3.5974E-03      1.0007E+00      1.0000E+00      1.0015E+00      3.5961E-03      8.9800E+01      9.0214E+01      1.0000E+00
      3.5965E-03      1.0011E+00      1.0000E+00      1.0022E+00      3.5950E-03      8.9778E+01      9.0242E+01      1.0000E+00
      3.6013E-03      1.0023E+00      1.0000E+00      1.0041E+00      3.5970E-03      8.9600E+01      9.0361E+01      1.0000E+00
      3.6158E-03      1.0047E+00      1.0001E+00      1.0078E+00      3.6036E-03      8.9224E+01      9.0670E+01      1.0000E+00
      3.6337E-03      1.0076E+00      1.0003E+00      1.0112E+00      3.6189E-03      8.8823E+01      9.1162E+01      1.0000E+00
      3.6706E-03      1.0163E+00      1.0010E+00      1.0246E+00      3.6338E-03      8.7705E+01      9.2145E+01      1.0000E+00
      3.6741E-03      1.0256E+00      1.0019E+00      1.0447E+00      3.6039E-03      8.7483E+01      9.3316E+01      1.0000E+00
      3.5384E-03      1.0311E+00      1.0043E+00      1.0829E+00      3.4369E-03      8.6819E+01      9.2692E+01      1.0000E+00
      3.6799E-03      1.0891E+00      1.0148E+00      1.1632E+00      3.5091E-03      8.2485E+01      9.5655E+01      1.0000E+00
      2.8361E-03      1.3527E+00      1.3391E+00      1.5414E+00      1.6188E-03      6.8635E+01      1.3154E+02      1.0000E+00
      2.6311E-03      1.3308E+00      1.3735E+00      1.4843E+00      1.5122E-03      6.7493E+01      1.3315E+02      1.0000E+00
      3.5891E-03      1.0944E+00      1.0125E+00      1.1540E+00      3.4304E-03      8.6191E+01      9.4461E+01      1.0000E+00
      3.5930E-03      1.0476E+00      1.0044E+00      1.0958E+00      3.4701E-03      8.8850E+01      9.3001E+01      1.0000E+00
      3.7456E-03      1.0256E+00      1.0012E+00      1.0472E+00      3.7275E-03      8.8995E+01      9.0956E+01      1.0000E+00
      3.7001E-03      1.0228E+00      1.0010E+00      1.0344E+00      3.6551E-03      8.8191E+01      9.1743E+01      1.0000E+00
      3.6356E-03      1.0081E+00      1.0001E+00      1.0129E+00      3.6190E-03      8.9344E+01      9.0742E+01      1.0000E+00
      3.6165E-03      1.0030E+00      1.0000E+00      1.0051E+00      3.6118E-03      8.9748E+01      9.0273E+01      1.0000E+00
      3.6106E-03      1.0016E+00      1.0000E+00      1.0028E+00      3.6080E-03      8.9854E+01      9.0125E+01      1.0000E+00
      3.6065E-03      1.0011E+00      1.0000E+00      1.0018E+00      3.6036E-03      8.9888E+01      9.0082E+01      1.0000E+00
      3.6027E-03      1.0005E+00      1.0000E+00      1.0008E+00      3.6010E-03      8.9949E+01      9.0033E+01      1.0000E+00
      3.6006E-03      1.0001E+00      1.0000E+00      1.0002E+00      3.6000E-03      8.9991E+01      9.0016E+01      1.0000E+00
      3.6000E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.5998E-03      8.9981E+01      9.0021E+01      1.0000E+00
      3.5998E-03      1.0001E+00      1.0000E+00      1.0002E+00      3.5997E-03      8.9976E+01      9.0026E+01      1.0000E+00
      3.6003E-03      1.0002E+00      1.0000E+00      1.0004E+00      3.5998E-03      8.9957E+01      9.0039E+01      1.0000E+00
      3.6024E-03      1.0005E+00      1.0000E+00      1.0008E+00      3.6005E-03      8.9897E+01      9.0080E+01      1.0000E+00
      3.6070E-03      1.0010E+00      1.0000E+00      1.0016E+00      3.6029E-03      8.9781E+01      9.0177E+01      1.0000E+00
      3.6158E-03      1.0021E+00      1.0000E+00      1.0033E+00      3.6077E-03      8.9552E+01      9.0380E+01      1.0000E+00
      3.6278E-03      1.0043E+00      1.0001E+00      1.0061E+00      3.6159E-03      8.9233E+01      9.0737E+01      1.0000E+00
      3.6326E-03      1.0071E+00      1.0002E+00      1.0125E+00      3.6128E-03      8.9063E+01      9.1158E+01      1.0000E+00
      3.6431E-03      1.0157E+00      1.0007E+00      1.0292E+00      3.6120E-03      8.8594E+01      9.1784E+01      1.0000E+00
      3.6538E-03      1.0268E+00      1.0021E+00      1.0604E+00      3.6131E-03      8.8236E+01      9.2019E+01      1.0000E+00
      3.9403E-03      1.1086E+00      1.0198E+00      1.1849E+00      3.6685E-03      8.0940E+01      9.6923E+01      1.0000E+00
      2.9626E-03      1.3248E+00      1.3352E+00      1.5209E+00      1.6873E-03      7.0147E+01      1.3133E+02      1.0000E+00
      2.1768E-03      1.4343E+00      1.2974E+00      1.7223E+00      1.2492E-03      6.5338E+01      1.2890E+02      1.0000E+00
      3.5660E-03      1.0804E+00      1.0107E+00      1.1373E+00      3.4469E-03      8.4736E+01      9.4636E+01      1.0000E+00
      3.5557E-03      1.0262E+00      1.0023E+00      1.0680E+00      3.4883E-03      8.8823E+01      9.0921E+01      1.0000E+00
      3.6331E-03      1.0150E+00      1.0005E+00      1.0329E+00      3.6046E-03      8.9361E+01      9.0934E+01      1.0000E+00
      3.6449E-03      1.0083E+00      1.0002E+00      1.0158E+00      3.6355E-03      8.9510E+01      9.0591E+01      1.0000E+00
      3.6354E-03      1.0063E+00      1.0001E+00      1.0103E+00      3.6225E-03      8.9387E+01      9.0533E+01      1.0000E+00
      3.6167E-03      1.0031E+00      1.0000E+00      1.0048E+00      3.6086E-03      8.9643E+01      9.0303E+01      1.0000E+00
      3.6060E-03      1.0010E+00      1.0000E+00      1.0016E+00      3.6034E-03      8.9871E+01      9.0109E+01      1.0000E+00
      3.6024E-03      1.0004E+00      1.0000E+00      1.0006E+00      3.6015E-03      8.9953E+01      9.0038E+01      1.0000E+00
      3.6012E-03      1.0002E+00      1.0000E+00      1.0003E+00      3.6007E-03      8.9977E+01      9.0017E+01      1.0000E+00
      3.6005E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9989E+01      9.0008E+01      1.0000E+00
      3.6002E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6002E-03      1.0000E+00      1.0000E+00      1.0001E+00      3.6000E-03      8.9993E+01      9.0005E+01      1.0000E+00
      3.6007E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9980E+01      9.0014E+01      1.0000E+00
      3.6018E-03      1.0002E+00      1.0000E+00      1.0004E+00      3.6007E-03      8.9949E+01      9.0037E+01      1.0000E+00
      3.6043E-03      1.0004E+00      1.0000E+00      1.0008E+00      3.6020E-03      8.9886E+01      9.0090E+01      1.0000E+00
      3.6084E-03      1.0010E+00      1.0000E+00      1.0016E+00      3.6047E-03      8.9784E+01      9.0191E+01      1.0000E+00
      3.6162E-03      1.0024E+00      1.0000E+00      1.0034E+00      3.6102E-03      8.9592E+01      9.0392E+01      1.0000E+00
      3.6341E-03      1.0065E+00      1.0001E+00      1.0101E+00      3.6222E-03      8.9217E+01      9.0805E+01      1.0000E+00
      3.6800E-03      1.0189E+00      1.0009E+00      1.0292E+00      3.6481E-03      8.8268E+01      9.1775E+01      1.0000E+00
      3.7070E-03      1.0305E+00      1.0021E+00      1.0624E+00      3.6483E-03      8.8492E+01      9.2359E+01      1.0000E+00
      3.9452E-03      1.1106E+00      1.0199E+00      1.1773E+00      3.6736E-03      8.1094E+01      9.7351E+01      1.0000E+00
      2.8674E-03      1.3019E+00      1.3409E+00      1.4873E+00      1.6382E-03      7.0639E+01      1.3161E+02      1.0000E+00
      3.5761E-03      1.1285E+00      1.0403E+00      1.3610E+00      2.9425E-03      8.0175E+01      9.9662E+01      1.0000E+00
      3.5424E-03      1.0260E+00      1.0040E+00      1.0782E+00      3.4273E-03      8.6885E+01      9.2717E+01      1.0000E+00
      3.6228E-03      1.0141E+00      1.0006E+00      1.0303E+00      3.5845E-03      8.8924E+01      9.1572E+01      1.0000E+00
      3.6222E-03      1.0058E+00      1.0001E+00      1.0113E+00      3.6091E-03      8.9561E+01      9.0635E+01      1.0000E+00
      3.6160E-03      1.0028E+00      1.0000E+00      1.0045E+00      3.6118E-03      8.9709E+01      9.0295E+01      1.0000E+00
      3.6094E-03      1.0015E+00      1.0000E+00      1.0025E+00      3.6058E-03      8.9818E+01      9.0149E+01      1.0000E+00
      3.6045E-03      1.0007E+00      1.0000E+00      1.0012E+00      3.6022E-03      8.9900E+01      9.0075E+01      1.0000E+00
      3.6016E-03      1.0003E+00      1.0000E+00      1.0004E+00      3.6007E-03      8.9961E+01      9.0029E+01      1.0000E+00
      3.6005E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9988E+01      9.0008E+01      1.0000E+00
      3.6002E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6001E-03      8.9996E+01      9.0003E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9998E+01      9.0001E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6003E-03      1.0000E+00      1.0000E+00      1.0001E+00      3.6001E-03      8.9991E+01      9.0006E+01      1.0000E+00
      3.6008E-03      1.0001E+00      1.0000E+00      1.0002E+00      3.6004E-03      8.9978E+01      9.0016E+01      1.0000E+00
      3.6021E-03      1.0002E+00      1.0000E+00      1.0004E+00      3.6010E-03      8.9946E+01      9.0042E+01      1.0000E+00
      3.6060E-03      1.0008E+00      1.0000E+00      1.0012E+00      3.6031E-03      8.9854E+01      9.0119E+01      1.0000E+00
      3.6171E-03      1.0027E+00      1.0000E+00      1.0042E+00      3.6093E-03      8.9602E+01      9.0342E+01      1.0000E+00
      3.6402E-03      1.0075E+00      1.0002E+00      1.0112E+00      3.6257E-03      8.9158E+01      9.0826E+01      1.0000E+00
      3.6808E-03      1.0197E+00      1.0009E+00      1.0312E+00      3.6421E-03      8.8361E+01      9.1798E+01      1.0000E+00
      3.6645E-03      1.0285E+00      1.0020E+00      1.0647E+00      3.5957E-03      8.8685E+01      9.1999E+01      1.0000E+00
      3.7362E-03      1.1018E+00      1.0154E+00      1.1493E+00      3.5456E-03      8.3886E+01      9.6392E+01      1.0000E+00
      2.2928E-03      1.2626E+00      1.3249E+00      1.6083E+00      1.3263E-03      6.9989E+01      1.2883E+02      1.0000E+00
      3.0673E-03      1.3577E+00      1.2794E+00      1.5460E+00      1.7929E-03      7.0016E+01      1.2855E+02      1.0000E+00
      4.2321E-03      1.1263E+00      1.0370E+00      1.2159E+00      3.7449E-03      7.5342E+01      9.9640E+01      1.0000E+00
      3.7226E-03      1.0273E+00      1.0022E+00      1.0438E+00      3.6382E-03      8.7086E+01      9.3702E+01      1.0000E+00
      3.6375E-03      1.0073E+00      1.0002E+00      1.0127E+00      3.6144E-03      8.9050E+01      9.1216E+01      1.0000E+00
      3.6149E-03      1.0024E+00      1.0000E+00      1.0034E+00      3.6091E-03      8.9641E+01      9.0379E+01      1.0000E+00
      3.6056E-03      1.0008E+00      1.0000E+00      1.0012E+00      3.6034E-03      8.9874E+01      9.0112E+01      1.0000E+00
      3.6022E-03      1.0003E+00      1.0000E+00      1.0005E+00      3.6012E-03      8.9952E+01      9.0037E+01      1.0000E+00
      3.6008E-03      1.0001E+00      1.0000E+00      1.0002E+00      3.6004E-03      8.9980E+01      9.0014E+01      1.0000E+00
      3.6003E-03      1.0000E+00      1.0000E+00      1.0001E+00      3.6001E-03      8.9993E+01      9.0005E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9998E+01      9.0001E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6001E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6005E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9988E+01      9.0009E+01      1.0000E+00
      3.6018E-03      1.0002E+00      1.0000E+00      1.0004E+00      3.6008E-03      8.9955E+01      9.0033E+01      1.0000E+00
      3.6061E-03      1.0009E+00      1.0000E+00      1.0014E+00      3.6029E-03      8.9854E+01      9.0115E+01      1.0000E+00
      3.6172E-03      1.0029E+00      1.0000E+00      1.0044E+00      3.6095E-03      8.9614E+01      9.0341E+01      1.0000E+00
      3.6361E-03      1.0074E+00      1.0001E+00      1.0120E+00      3.6216E-03      8.9321E+01      9.0755E+01      1.0000E+00
      3.6599E-03      1.0176E+00      1.0007E+00      1.0340E+00      3.6253E-03      8.9185E+01      9.1284E+01      1.0000E+00
      3.6195E-03      1.0415E+00      1.0035E+00      1.0869E+00      3.5114E-03      8.9066E+01      9.2474E+01      1.0000E+00
      3.7456E-03      1.2061E+00      1.0632E+00      1.2953E+00      3.2438E-03      7.2884E+01      1.0646E+02      1.0000E+00
      2.1277E-03      1.4889E+00      1.2491E+00      1.7657E+00      1.2482E-03      6.5627E+01      1.2639E+02      1.0000E+00
      3.7093E-03      1.0894E+00      1.0232E+00      1.1822E+00      3.4855E-03      7.9550E+01      9.7674E+01      1.0000E+00
      3.7193E-03      1.0270E+00      1.0024E+00      1.0473E+00      3.7012E-03      8.6992E+01      9.2996E+01      1.0000E+00
      3.7072E-03      1.0185E+00      1.0013E+00      1.0287E+00      3.6505E-03      8.7309E+01      9.2246E+01      1.0000E+00
      3.6346E-03      1.0049E+00      1.0001E+00      1.0074E+00      3.6187E-03      8.9140E+01      9.0782E+01      1.0000E+00
      3.6090E-03      1.0011E+00      1.0000E+00      1.0018E+00      3.6049E-03      8.9776E+01      9.0197E+01      1.0000E+00
      3.6021E-03      1.0002E+00      1.0000E+00      1.0004E+00      3.6011E-03      8.9948E+01      9.0042E+01      1.0000E+00
      3.6005E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9988E+01      9.0009E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6001E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0001E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0000E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6004E-03      1.0001E+00      1.0000E+00      1.0001E+00      3.6002E-03      8.9988E+01      9.0008E+01      1.0000E+00
      3.6018E-03      1.0003E+00      1.0000E+00      1.0004E+00      3.6008E-03      8.9955E+01      9.0033E+01      1.0000E+00
      3.6061E-03      1.0009E+00      1.0000E+00      1.0015E+00      3.6033E-03      8.9863E+01      9.0114E+01      1.0000E+00
      3.6182E-03      1.0032E+00      1.0000E+00      1.0050E+00      3.6127E-03      8.9670E+01      9.0320E+01      1.0000E+00
      3.6467E-03      1.0088E+00      1.0002E+00      1.0165E+00      3.6353E-03      8.9524E+01      9.0599E+01      1.0000E+00
      3.7332E-03      1.0252E+00      1.0011E+00      1.0477E+00      3.7135E-03      8.9400E+01      9.0742E+01      1.0000E+00
      4.0984E-03      1.1444E+00      1.0276E+00      1.2200E+00      3.7185E-03      8.0122E+01      9.8369E+01      1.0000E+00
      2.5419E-03      1.2745E+00      1.2913E+00      1.6477E+00      1.5156E-03      6.9657E+01      1.2649E+02      1.0000E+00
      2.9190E-03      1.1068E+00      1.0367E+00      1.2591E+00      2.5819E-03      7.7762E+01      9.7960E+01      1.0000E+00
      3.4498E-03      1.0425E+00      1.0058E+00      1.0960E+00      3.3173E-03      8.5143E+01      9.3271E+01      1.0000E+00
      3.6436E-03      1.0136E+00      1.0009E+00      1.0236E+00      3.6248E-03      8.8021E+01      9.2124E+01      1.0000E+00
      3.6408E-03      1.0060E+00      1.0002E+00      1.0095E+00      3.6244E-03      8.8932E+01      9.0943E+01      1.0000E+00
      3.6177E-03      1.0023E+00      1.0000E+00      1.0036E+00      3.6081E-03      8.9546E+01      9.0353E+01      1.0000E+00
      3.6045E-03      1.0005E+00      1.0000E+00      1.0009E+00      3.6019E-03      8.9883E+01      9.0088E+01      1.0000E+00
      3.6008E-03      1.0001E+00      1.0000E+00      1.0002E+00      3.6004E-03      8.9978E+01      9.0016E+01      1.0000E+00
      3.6001E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6001E-03      8.9997E+01      9.0002E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      8.9999E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
      3.6000E-03      1.0000E+00      1.0000E+00      1.0000E+00      3.6000E-03      9.0000E+01      9.0000E+01      1.0000E+00
